vpcId,stateReason,instanceId,imageId,keyName,tagName,clientToken,subnetId,amiLaunchIndex,instanceType,publicDnsName,instanceLifecycle,platform,publicIpAddress,kernelId,privateIpAddress,virtualizationType,stateTransitionReason,spotInstanceRequestId,tagType,privateDnsName,license,hypervisor,launchTime,architecture,rootDeviceType,ramdiskId,iamInstanceProfile,rootDeviceName
,,i-aa55d4c1,ami-90e076f9,cloudjee-admin,staging.cloudjee.com,,,0,m1.medium,ec2-174-129-207-255.compute-1.amazonaws.com,,,174.129.207.255,aki-805ea7e9,10.164.44.211,paravirtual,,,,ip-10-164-44-211.ec2.internal,,xen,1373894973000,i386,instance-store,,,
,,i-98b911f0,ami-90e076f9,cloudjee-admin,dev.cloudjee.com,,,0,m1.small,ec2-54-235-133-66.compute-1.amazonaws.com,,,54.235.133.66,aki-805ea7e9,10.192.23.209,paravirtual,,,,domU-12-31-39-0E-14-23.compute-1.internal,,xen,1372927820000,i386,instance-store,,,
,,i-8aac8eeb,ami-90e076f9,cloudjee-admin,monitoring-server,,,0,m1.small,ec2-54-227-117-19.compute-1.amazonaws.com,,,54.227.117.19,aki-805ea7e9,10.209.191.80,paravirtual,,,,domU-12-31-39-07-BC-A2.compute-1.internal,,xen,1373018427000,i386,instance-store,,,
,,i-7e67211a,ami-affcbec6,cloudjee-admin,GraphiteServer,PYPPD1379051569716,,0,m1.medium,ec2-54-242-23-135.compute-1.amazonaws.com,,,54.242.23.135,aki-88aa75e1,10.190.94.48,paravirtual,,,,ip-10-190-94-48.ec2.internal,,xen,1379051570000,x86_64,ebs,,,/dev/sda1
,,i-616e5d04,ami-85ce9aec,bhavin,GraphiteMonitoring-wavemaker-Testing,,,0,m1.small,ec2-54-211-197-73.compute-1.amazonaws.com,,,54.211.197.73,aki-b6aa75df,10.238.147.9,paravirtual,,,,ip-10-238-147-9.ec2.internal,,xen,1381915042000,i386,instance-store,,,
,,i-83ccf6e7,ami-f7541d9e,vijay,DockerInstance02,,,0,m1.large,ec2-54-221-191-46.compute-1.amazonaws.com,,,54.221.191.46,aki-88aa75e1,10.236.182.18,paravirtual,,,,ip-10-236-182-18.ec2.internal,,xen,1379919024000,x86_64,instance-store,,,
,,i-37130a50,ami-40661929,anshul_tomcatlogs,tomcatlogs-37130a50,,,0,m1.small,ec2-54-224-241-84.compute-1.amazonaws.com,,,54.224.241.84,aki-b6aa75df,10.214.34.210,paravirtual,,,,domU-12-31-39-0B-1D-24.compute-1.internal,,xen,1382531416000,i386,instance-store,,,
,,i-27f1675f,ami-47aef82e,anshul_docklogs,docklogs-27f1675f,,,0,m1.small,ec2-54-211-47-119.compute-1.amazonaws.com,,,54.211.47.119,aki-88aa75e1,10.181.208.254,paravirtual,,,,ip-10-181-208-254.ec2.internal,,xen,1382523971000,x86_64,instance-store,,,
